;split name;Since 2015 STD 2 pearson_corr;Since 2015 STD 2 rmse;Since 2015 STD 2 nrmse;Val pearson_corr;Val rmse;Val nrmse;Test pearson_corr;Test rmse;Test nrmse;run;name;;;;;;;;;;;;;;;;;;;;;
42;Random Split (Cross Val) Urban;0.1532212735261564;0.1745633514801382;10.018.578.665.402.500;0.1924642791138193;0.1903287502086979;0.9838159563461664;0.1618978582875551;0.1919268870360539;0.9920767814157015;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg19;wimagenet;unfl100;dFalse;lr1e-05;adjustlr;momentum0.9;optimizerSGD;horizontal;flip;;m;vgg19;hFalse;wFalse1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Random Split (Cross Val) Urban;0.2973170284886255;0.1671011081320465;0.959030393666181;0.3274794598095935;0.1827925365462887;0.94486100475119;0.3417415458658346;0.1818023377409454;0.9397426325473932;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg19;wimagenet;unfl100;dFalse;lr1e-05;momentum0.99;optimizerSGD;horizontal;flip;;m;vgg19;hFalse;wFalse1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Random Split (Cross Val) Urban;0.1154674422527009;0.1763282140209284;10.119.868.048.589.800;0.1531046243165179;0.1923776589765903;0.9944068373178524;0.1409038324828701;0.1930755218737379;0.9980141150034516;200x200;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f6805vgg19;wimagenet;unfl100;dFalse;lr1e-05;momentum0.9;optimizerSGD;horizontal;flip;;m;vgg19;hFalse;wFalse1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;Random Split (Cross Val) Rural;0.508156203062802;0.1697768185225174;0.8664822159868459;0.5253670433247799;0.1811667075888203;0.8530551146796291;0.5240293091265489;0.1812559852941406;0.8534754943628722;996x996;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f10815vgg16;wimagenet;unfl100;d0.2;lr0.0001;momentum0.8;optimizerSGD;horizontal;flip;;m;vgg16;hFalse;wFalse1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;Random Split (Cross Val) Rural;0.5601968290030028;0.1628447270589137;0.8311032165151944;0.582476846201249;0.1726539141983715;0.8129711387737745;0.5825802236120182;0.1726551302338153;0.8129768646892519;996x996;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f10815vgg16;wimagenet;unfl100;d0.2;lr0.0001;momentum0.9;optimizerSGD;horizontal;flip;;m;vgg16;hFalse;wFalse1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;Random Split (Cross Val) Rural;0.5856244107636555;0.1733631128363558;0.8847854229339329;0.6097401169205364;0.177733570993278;0.8368895908303571;0.6128873293765185;0.1771305114780482;0.8340499796745889;996x996;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f10815vgg16;wimagenet;unfl100;d0.2;lr0.001;momentum0.8;optimizerSGD;horizontal;flip;;m;vgg16;hFalse;wFalse1;
